parameter	n_uniqlatlong
Ag_ppm	89827
Al_pct	55368
As_ppm	86966
Au_ppm	73041
B_ppm	39832
Ba_ppm	88546
Be_ppm	88464
Bi_ppm	86626
Br_ppm	1161
C_pct	14455
Ca_pct	88602
CCO3_pct	6202
Cd_ppm	86751
Ce_ppm	54851
Cl_pct	2089
CO2_pct	3847
Co_ppm	88510
Corg_pct	5105
Cr_ppm	88612
Cs_ppm	32837
Cu_ppm	89965
Dy_ppm	3562
Er_ppm	3506
Eu_ppm	25960
F_pct	12346
Fe2O3_pct	232
Fe_pct	88695
FeO_pct	320
Ga_ppm	56526
Gd_ppm	3564
Ge_ppm	25932
Hf_ppm	25228
Hg_ppm	47970
Ho_ppm	21740
I_ppm	1111
In_ppm	36896
Ir_ppm	1008
K_pct	61275
La_ppm	88403
Li_ppm	55064
LOI_pct	1405
Lu_ppm	4039
Mg_pct	88474
Mn_pct	88715
Mo_ppm	89798
Na_pct	61609
Nb_ppm	86398
Nd_ppm	25700
Ni_ppm	88583
Os_ppm	881
P_pct	56224
Pb_ppm	89944
Pd_ppm	29150
Pr_ppm	6870
Pt_ppm	28983
Rb_ppm	34024
Re_ppm	22894
Rh_ppm	925
Ru_ppm	916
S_pct	42318
Sb_ppm	76110
Sc_ppm	88202
Se_ppm	47435
Si_pct	8455
Sm_ppm	7907
Sn_ppm	87761
SO4_pct	22
Sr_ppm	88502
Sulfide_pct	3
Ta_ppm	42204
Tb_ppm	4696
Te_ppm	44772
Th_ppm	63145
Ti_pct	88456
Tl_ppm	38237
Tm_ppm	3245
U_ppm	55418
V_ppm	88493
W_ppm	68385
Y_ppm	88281
Yb_ppm	26299
Zn_ppm	86879
Zr_ppm	60432
